,0
0,19
1,10
2,3
3,25
4,15
5,30
6,26
7,1
8,19
9,18
10,10
11,28
12,15
13,24
14,17
15,17
16,15
17,20
18,23
19,31
20,27
21,2
22,0
23,27
24,4
25,15
26,26
27,7
28,15
29,4
30,1
31,29
32,26
33,22
34,22
35,29
36,3
37,3
38,26
39,17
40,17
41,10
42,4
43,3
44,19
45,18
46,29
47,26
48,11
49,23
50,18
51,18
52,26
53,29
54,0
55,0
56,10
57,26
58,10
59,0
60,4
61,30
62,26
63,10
64,1
65,3
66,26
67,26
68,23
69,29
70,7
71,10
72,21
73,29
74,25
75,25
76,26
77,18
78,15
79,24
80,0
81,24
82,13
83,19
84,14
85,18
86,31
87,26
88,18
89,26
90,18
91,22
92,14
93,3
94,17
95,26
96,30
97,22
98,19
99,22
100,15
101,6
102,20
103,4
104,23
105,18
106,4
107,24
108,10
109,10
110,24
111,31
112,4
113,8
114,26
115,2
116,0
117,0
118,18
119,1
120,3
121,18
122,14
123,19
124,1
125,26
126,23
127,21
128,1
129,17
130,3
131,22
132,26
133,2
134,26
135,24
136,17
137,19
138,7
139,20
140,30
141,19
142,10
143,10
144,26
145,17
146,25
147,12
148,15
149,18
150,1
151,20
152,4
153,0
154,4
155,1
156,10
157,25
158,19
159,14
160,26
161,19
162,22
163,22
164,17
165,22
166,26
167,8
168,17
169,23
170,23
171,15
172,26
173,20
174,31
175,17
176,10
177,21
178,22
179,24
180,1
181,15
182,15
183,3
184,25
185,31
186,12
187,22
188,26
189,10
190,26
191,22
192,15
193,26
194,4
195,1
196,3
197,24
198,4
199,24
200,13
201,24
202,23
203,12
204,26
205,21
206,25
207,26
208,12
209,12
210,18
211,10
212,10
213,22
214,21
215,7
216,15
217,17
218,0
219,30
220,24
221,24
222,15
223,22
224,1
225,1
226,28
227,10
228,21
229,29
230,19
231,19
232,7
233,31
234,8
235,10
236,26
237,10
238,24
239,13
240,19
241,1
242,4
243,10
244,24
245,24
246,7
247,24
248,15
249,0
250,15
251,23
252,29
253,22
254,3
255,10
256,7
257,6
258,30
259,29
260,3
261,15
262,10
263,10
264,26
265,17
266,27
267,10
268,26
269,19
270,3
271,1
272,22
273,13
274,27
275,2
276,24
277,24
278,6
279,19
280,10
281,18
282,21
283,23
284,17
285,4
286,30
287,7
288,24
289,19
290,26
291,19
292,26
293,7
294,21
295,29
296,30
297,29
298,26
299,0
300,0
301,15
302,30
303,21
304,26
305,7
306,12
307,13
308,0
309,1
310,1
311,17
312,26
313,1
314,12
315,26
316,8
317,3
318,7
319,13
320,26
321,19
322,0
323,0
324,8
325,17
326,3
327,26
328,21
329,22
330,26
331,22
332,26
333,27
334,13
335,30
336,22
337,13
338,17
339,10
340,12
341,12
342,20
343,23
344,15
345,26
346,24
347,18
348,26
349,12
350,22
351,13
352,28
353,24
354,15
355,17
356,20
357,15
358,10
359,24
360,19
361,0
362,18
363,6
364,22
365,26
366,19
367,24
368,28
369,22
370,6
371,1
372,13
373,17
374,19
375,25
376,14
377,15
378,20
379,13
380,7
381,22
382,7
383,10
384,0
385,31
386,17
387,26
388,31
389,21
390,26
391,21
392,26
393,0
394,24
395,10
396,24
397,17
398,30
399,1
400,26
401,30
402,20
403,20
404,18
405,15
406,2
407,0
408,20
409,26
410,17
411,4
412,4
413,10
414,28
415,26
416,13
417,23
418,29
419,6
420,1
421,1
422,3
423,12
424,13
425,10
426,11
427,30
428,1
429,29
430,10
431,28
432,1
433,30
434,25
435,27
436,16
437,30
438,0
439,29
440,10
441,31
442,25
443,0
444,13
445,28
446,26
447,26
448,1
449,28
450,13
451,13
452,17
453,2
454,28
455,0
456,10
457,26
458,4
459,15
460,19
461,22
462,24
463,17
464,27
465,30
466,18
467,11
468,10
469,26
470,1
471,2
472,2
473,26
474,7
475,26
476,25
477,28
478,29
479,10
480,16
481,3
482,29
483,25
484,7
485,15
486,4
487,4
488,17
489,0
490,13
491,16
492,14
493,4
494,24
495,10
496,3
497,17
498,12
499,12
500,8
501,4
502,6
503,19
504,15
505,18
506,24
507,4
508,3
509,15
510,26
511,14
512,18
513,5
514,6
515,3
516,28
517,4
518,28
519,24
520,0
521,14
522,10
523,24
524,26
525,26
526,30
527,15
528,10
529,22
530,4
531,0
532,8
533,3
534,10
535,1
536,22
537,24
538,1
539,7
540,26
541,22
542,22
543,4
544,4
545,22
546,16
547,6
548,13
549,13
550,30
551,4
552,7
553,0
554,24
555,30
556,15
557,10
558,15
559,31
560,12
561,18
562,23
563,23
564,27
565,4
566,23
567,19
568,30
569,25
570,2
571,17
572,28
573,15
574,26
575,24
576,8
577,10
578,18
579,23
580,25
581,23
582,1
583,26
584,15
585,10
586,24
587,2
588,4
589,26
590,29
591,0
592,24
593,30
594,3
595,26
596,28
597,30
598,0
599,30
600,26
601,28
602,3
603,2
604,18
605,26
606,7
607,22
608,20
609,27
610,8
611,20
612,23
613,10
614,12
615,15
616,26
617,31
618,16
619,14
620,4
621,8
622,15
623,26
624,26
625,27
626,29
627,26
628,25
629,22
630,15
631,30
632,4
633,1
634,24
635,3
636,20
637,24
638,30
639,11
640,24
641,10
642,10
643,14
644,31
645,26
646,23
647,22
648,23
649,4
650,8
651,11
652,26
653,22
654,20
655,27
656,7
657,4
658,17
659,24
660,14
661,27
662,0
663,0
664,13
665,23
666,7
667,26
668,24
669,18
670,8
671,10
672,2
673,28
674,10
675,2
676,11
677,18
678,26
679,8
680,2
681,26
682,10
683,30
684,15
685,14
686,21
687,29
688,24
689,23
690,26
691,27
692,29
693,21
694,27
695,15
696,12
697,26
698,28
699,13
700,26
701,18
702,7
703,0
704,15
705,23
706,26
707,6
708,30
709,18
710,6
711,11
712,15
713,12
714,14
715,7
716,7
717,10
718,6
719,30
720,14
721,29
722,10
723,25
724,25
725,18
726,18
727,8
728,12
729,26
730,10
731,28
732,2
733,26
734,21
735,10
736,15
737,24
738,10
739,13
740,20
741,31
742,23
743,9
744,26
745,22
746,22
747,20
748,23
749,1
750,27
751,13
752,18
753,31
754,26
755,25
756,7
757,22
758,22
759,11
760,11
761,30
762,26
763,31
764,26
765,10
766,26
767,28
768,4
769,25
770,7
771,6
772,13
773,8
774,18
775,13
776,26
777,30
778,10
779,26
780,30
781,26
782,23
783,24
784,22
785,16
786,26
787,26
788,17
789,20
790,20
791,7
792,26
793,25
794,21
795,14
796,7
797,25
798,12
799,10
800,16
801,25
802,15
803,20
804,31
805,27
806,15
807,18
808,26
809,26
810,29
811,1
812,1
813,13
814,12
815,10
816,27
817,24
818,25
819,10
820,13
821,0
822,12
823,10
824,13
825,2
826,20
827,15
828,11
829,14
830,27
831,20
832,15
833,11
834,15
835,10
836,21
837,30
838,12
839,7
840,28
841,29
842,12
843,21
844,25
845,29
846,13
847,11
848,17
849,25
850,28
851,20
852,13
853,6
854,20
855,12
856,14
857,30
858,0
859,17
860,28
861,26
862,25
863,26
864,0
865,12
866,26
867,14
868,29
869,12
870,23
871,28
872,12
873,30
874,29
875,0
876,26
877,11
878,9
879,28
880,12
881,31
882,30
883,26
884,9
885,15
886,30
887,13
888,23
889,4
890,31
891,0
892,13
893,15
894,30
895,13
896,25
897,18
898,20
899,22
900,7
901,13
902,30
903,7
904,30
905,4
906,7
907,0
908,0
909,18
910,28
911,26
912,7
913,26
914,6
915,2
916,29
917,24
918,16
919,22
920,10
921,28
922,6
923,31
924,13
925,4
926,20
927,8
928,26
929,28
930,13
931,25
932,30
933,29
934,15
935,2
936,2
937,27
938,22
939,0
940,10
941,14
942,15
943,8
944,10
945,17
946,9
947,11
948,7
