,0
0,3
1,0
2,15
3,3
4,13
5,24
6,3
7,33
8,6
9,14
10,0
11,16
12,13
13,32
14,23
15,23
16,1
17,5
18,30
19,26
20,34
21,22
22,14
23,34
24,10
25,31
26,3
27,25
28,13
29,23
30,11
31,18
32,3
33,29
34,29
35,30
36,15
37,15
38,3
39,23
40,23
41,0
42,32
43,15
44,3
45,2
46,18
47,3
48,12
49,30
50,14
51,14
52,3
53,18
54,14
55,14
56,0
57,3
58,0
59,14
60,14
61,24
62,3
63,0
64,33
65,15
66,3
67,1
68,30
69,18
70,25
71,0
72,28
73,18
74,33
75,33
76,3
77,14
78,1
79,2
80,14
81,32
82,17
83,6
84,8
85,11
86,26
87,3
88,29
89,3
90,4
91,29
92,8
93,15
94,23
95,3
96,24
97,5
98,5
99,10
100,13
101,31
102,27
103,5
104,30
105,14
106,10
107,11
108,0
109,0
110,32
111,26
112,3
113,2
114,3
115,0
116,4
117,14
118,23
119,11
120,15
121,1
122,8
123,6
124,11
125,3
126,30
127,20
128,17
129,23
130,15
131,29
132,3
133,12
134,3
135,32
136,23
137,3
138,25
139,4
140,24
141,6
142,0
143,0
144,3
145,23
146,33
147,28
148,13
149,14
150,11
151,4
152,14
153,14
154,3
155,11
156,0
157,33
158,14
159,8
160,3
161,6
162,29
163,29
164,23
165,29
166,3
167,2
168,23
169,30
170,30
171,1
172,3
173,4
174,26
175,23
176,0
177,8
178,29
179,32
180,11
181,32
182,13
183,15
184,33
185,26
186,28
187,29
188,3
189,0
190,3
191,29
192,3
193,3
194,3
195,11
196,15
197,32
198,32
199,11
200,17
201,20
202,30
203,28
204,3
205,20
206,32
207,3
208,3
209,28
210,13
211,0
212,0
213,29
214,20
215,25
216,13
217,23
218,14
219,24
220,32
221,32
222,32
223,29
224,17
225,11
226,21
227,0
228,20
229,18
230,25
231,2
232,25
233,18
234,7
235,0
236,3
237,0
238,32
239,11
240,6
241,16
242,32
243,0
244,32
245,20
246,25
247,11
248,20
249,20
250,1
251,10
252,18
253,29
254,15
255,0
256,25
257,31
258,24
259,18
260,15
261,1
262,0
263,0
264,3
265,23
266,34
267,0
268,11
269,3
270,15
271,11
272,29
273,17
274,34
275,7
276,32
277,20
278,31
279,0
280,0
281,14
282,20
283,10
284,23
285,10
286,24
287,25
288,2
289,0
290,3
291,6
292,3
293,25
294,20
295,18
296,24
297,18
298,3
299,14
300,33
301,1
302,24
303,10
304,0
305,3
306,28
307,17
308,33
309,11
310,5
311,23
312,3
313,11
314,28
315,3
316,2
317,15
318,31
319,18
320,3
321,13
322,7
323,14
324,1
325,23
326,15
327,3
328,8
329,10
330,3
331,29
332,3
333,34
334,11
335,24
336,29
337,17
338,23
339,0
340,28
341,28
342,5
343,30
344,13
345,3
346,3
347,14
348,3
349,28
350,29
351,11
352,21
353,7
354,1
355,23
356,5
357,13
358,0
359,20
360,6
361,13
362,14
363,22
364,29
365,3
366,13
367,11
368,21
369,29
370,14
371,11
372,17
373,23
374,13
375,33
376,8
377,13
378,4
379,17
380,25
381,29
382,25
383,0
384,18
385,26
386,23
387,3
388,26
389,20
390,3
391,20
392,3
393,33
394,29
395,0
396,3
397,23
398,27
399,3
400,14
401,24
402,4
403,4
404,14
405,13
406,22
407,14
408,27
409,14
410,23
411,10
412,27
413,0
414,21
415,3
416,17
417,30
418,18
419,31
420,33
421,11
422,15
423,1
424,17
425,0
426,12
427,30
428,11
429,18
430,0
431,21
432,11
433,24
434,33
435,34
436,25
437,0
438,14
439,8
440,5
441,26
442,26
443,3
444,11
445,21
446,11
447,3
448,11
449,4
450,17
451,17
452,23
453,22
454,21
455,14
456,0
457,3
458,10
459,32
460,13
461,10
462,7
463,23
464,5
465,24
466,27
467,12
468,0
469,3
470,33
471,12
472,22
473,3
474,14
475,3
476,33
477,16
478,30
479,0
480,2
481,3
482,18
483,33
484,25
485,24
486,27
487,3
488,23
489,16
490,17
491,25
492,8
493,23
494,32
495,0
496,15
497,10
498,28
499,28
500,7
501,27
502,31
503,13
504,32
505,14
506,14
507,10
508,15
509,13
510,3
511,8
512,14
513,1
514,31
515,15
516,16
517,14
518,21
519,32
520,10
521,8
522,0
523,32
524,3
525,7
526,24
527,13
528,0
529,29
530,18
531,33
532,7
533,15
534,0
535,11
536,29
537,32
538,10
539,3
540,3
541,34
542,29
543,10
544,10
545,29
546,25
547,14
548,17
549,11
550,24
551,31
552,31
553,14
554,32
555,32
556,13
557,0
558,13
559,26
560,28
561,11
562,30
563,30
564,34
565,32
566,30
567,10
568,24
569,33
570,22
571,23
572,21
573,32
574,3
575,3
576,7
577,0
578,14
579,30
580,33
581,30
582,3
583,3
584,13
585,0
586,20
587,22
588,32
589,3
590,18
591,14
592,30
593,24
594,15
595,20
596,4
597,24
598,14
599,24
600,3
601,16
602,15
603,22
604,14
605,3
606,14
607,29
608,27
609,5
610,2
611,5
612,30
613,0
614,28
615,1
616,14
617,26
618,25
619,8
620,27
621,2
622,13
623,3
624,3
625,5
626,18
627,3
628,33
629,29
630,13
631,24
632,27
633,11
634,32
635,23
636,4
637,3
638,24
639,12
640,7
641,0
642,0
643,8
644,26
645,3
646,30
647,29
648,30
649,14
650,2
651,12
652,3
653,12
654,5
655,34
656,25
657,27
658,23
659,7
660,8
661,34
662,14
663,14
664,11
665,30
666,25
667,10
668,32
669,18
670,2
671,0
672,22
673,21
674,0
675,22
676,12
677,14
678,3
679,2
680,22
681,3
682,11
683,30
684,13
685,8
686,20
687,18
688,20
689,30
690,3
691,34
692,18
693,20
694,34
695,27
696,28
697,3
698,21
699,17
700,3
701,14
702,25
703,14
704,13
705,30
706,3
707,31
708,24
709,14
710,31
711,12
712,10
713,28
714,0
715,25
716,25
717,0
718,31
719,24
720,8
721,27
722,0
723,32
724,33
725,14
726,14
727,2
728,28
729,3
730,0
731,21
732,22
733,3
734,20
735,0
736,32
737,32
738,0
739,7
740,5
741,26
742,30
743,22
744,14
745,29
746,25
747,5
748,30
749,11
750,34
751,17
752,14
753,26
754,3
755,33
756,25
757,29
758,29
759,12
760,12
761,7
762,10
763,26
764,3
765,0
766,3
767,21
768,14
769,3
770,25
771,31
772,10
773,2
774,18
775,17
776,3
777,24
778,0
779,3
780,24
781,3
782,30
783,32
784,29
785,19
786,3
787,3
788,10
789,4
790,4
791,31
792,3
793,33
794,20
795,8
796,25
797,3
798,28
799,0
800,19
801,33
802,1
803,27
804,26
805,5
806,32
807,11
808,3
809,3
810,18
811,11
812,11
813,11
814,28
815,0
816,34
817,32
818,29
819,0
820,17
821,14
822,28
823,0
824,17
825,22
826,4
827,13
828,12
829,8
830,34
831,27
832,32
833,12
834,13
835,0
836,20
837,3
838,28
839,3
840,16
841,18
842,1
843,20
844,33
845,18
846,10
847,12
848,23
849,25
850,21
851,27
852,17
853,31
854,4
855,28
856,8
857,24
858,14
859,23
860,21
861,10
862,26
863,3
864,3
865,28
866,3
867,10
868,18
869,28
870,1
871,21
872,28
873,24
874,18
875,17
876,3
877,12
878,22
879,16
880,28
881,18
882,24
883,14
884,22
885,13
886,30
887,17
888,30
889,5
890,26
891,14
892,17
893,1
894,24
895,17
896,33
897,14
898,27
899,29
900,5
901,17
902,24
903,27
904,27
905,23
906,30
907,14
908,14
909,14
910,21
911,3
912,25
913,3
914,31
915,22
916,18
917,32
918,19
919,29
920,0
921,21
922,31
923,26
924,17
925,10
926,5
927,2
928,3
929,16
930,17
931,33
932,27
933,18
934,1
935,29
936,22
937,34
938,29
939,14
940,0
941,8
942,13
943,2
944,0
945,23
946,22
947,12
948,17
949,32
950,17
951,14
952,26
953,3
954,17
955,0
956,23
957,3
958,3
959,27
960,18
961,28
962,14
963,20
964,26
965,22
966,34
967,0
968,30
969,25
970,22
971,26
972,25
973,27
974,14
975,33
976,31
977,23
978,30
979,33
980,33
981,11
982,24
983,22
984,13
985,3
986,22
987,3
988,1
989,34
990,22
991,10
992,4
993,18
994,20
995,3
996,3
997,25
998,22
999,29
1000,34
1001,27
1002,23
1003,5
1004,3
1005,3
1006,3
1007,0
1008,29
1009,21
1010,34
1011,13
1012,11
1013,18
1014,17
1015,29
1016,2
1017,17
1018,13
1019,31
1020,2
1021,17
1022,3
1023,32
1024,3
1025,3
1026,22
1027,31
1028,3
1029,34
1030,3
1031,24
1032,25
1033,17
1034,25
1035,11
1036,14
1037,20
1038,34
1039,7
1040,1
1041,13
1042,17
1043,31
1044,26
1045,0
1046,34
1047,3
1048,31
1049,10
1050,31
1051,30
1052,10
1053,10
1054,22
1055,0
1056,25
1057,27
1058,22
1059,31
1060,13
1061,28
1062,7
1063,8
1064,7
1065,22
1066,4
1067,2
1068,20
1069,13
1070,22
1071,22
1072,31
1073,3
1074,14
1075,19
1076,32
1077,30
1078,31
1079,32
1080,3
1081,22
1082,27
1083,1
1084,22
1085,22
1086,3
1087,22
1088,32
1089,32
1090,17
1091,22
1092,29
1093,10
1094,25
1095,27
1096,34
1097,31
1098,9
1099,9
1100,13
1101,17
1102,10
1103,3
1104,5
1105,1
1106,10
1107,9
1108,9
1109,9
1110,9
1111,7
1112,4
1113,8
1114,9
1115,3
1116,9
1117,3
1118,3
1119,9
1120,3
1121,17
1122,7
1123,28
1124,9
1125,9
1126,30
1127,9
1128,9
1129,9
1130,13
1131,9
1132,9
1133,13
1134,22
1135,3
1136,22
1137,7
1138,9
1139,13
1140,26
1141,9
1142,3
1143,3
1144,3
1145,3
1146,9
1147,2
1148,26
1149,3
1150,7
1151,28
1152,22
1153,31
1154,21
1155,31
1156,3
1157,3
1158,9
1159,17
1160,31
1161,31
1162,3
1163,31
1164,28
1165,9
1166,27
1167,9
1168,18
1169,14
1170,0
1171,3
1172,0
1173,19
1174,34
1175,25
1176,3
1177,26
1178,9
1179,25
1180,9
1181,30
1182,4
1183,24
1184,16
1185,9
1186,31
1187,12
1188,7
1189,7
1190,9
1191,31
1192,10
1193,3
1194,14
1195,14
1196,18
1197,7
1198,22
1199,3
1200,3
1201,29
1202,9
1203,21
1204,3
1205,8
1206,33
1207,22
1208,29
1209,29
1210,13
1211,8
1212,3
1213,3
1214,3
1215,1
1216,0
1217,25
1218,2
1219,18
1220,19
1221,2
1222,9
1223,3
1224,9
1225,14
1226,7
1227,1
1228,3
1229,3
1230,31
1231,9
1232,30
1233,22
1234,25
1235,28
1236,31
1237,8
1238,3
1239,0
1240,3
1241,30
1242,25
1243,9
1244,25
1245,31
1246,9
1247,8
1248,3
1249,3
1250,9
1251,31
1252,33
1253,3
1254,29
1255,3
1256,9
1257,9
1258,9
1259,9
1260,3
1261,3
1262,7
1263,3
1264,31
1265,10
1266,3
1267,18
1268,28
