,0
0,27
1,8
2,6
3,13
4,31
5,1
6,23
7,16
8,13
9,6
10,8
11,26
12,18
13,16
14,8
15,27
16,31
17,31
18,10
19,1
20,0
21,36
22,6
23,0
24,6
25,26
26,18
27,1
28,18
29,27
30,13
31,27
32,23
33,0
34,0
35,27
36,2
37,27
38,1
39,8
40,6
41,8
42,6
43,18
44,11
45,27
46,11
47,13
48,0
49,18
50,27
51,13
52,23
53,11
54,6
55,1
56,32
57,11
58,32
59,6
60,6
61,35
62,1
63,32
64,16
65,18
66,13
67,27
68,21
69,31
70,1
71,32
72,16
73,27
74,13
75,16
76,27
77,10
78,6
79,6
80,13
81,16
82,16
83,13
84,6
85,16
86,35
87,23
88,0
89,17
90,16
91,16
92,6
93,32
94,6
95,27
96,1
97,0
98,27
99,0
100,27
101,18
102,6
103,1
104,27
105,6
106,35
107,6
108,8
109,8
110,1
111,1
112,20
113,6
114,34
115,36
116,13
117,13
118,6
119,10
120,18
121,31
122,36
123,13
124,13
125,17
126,1
127,1
128,16
129,6
130,27
131,0
132,34
133,36
134,19
135,6
136,6
137,34
138,27
139,13
140,1
141,6
142,8
143,32
144,29
145,34
146,8
147,18
148,18
149,23
150,6
151,13
152,13
153,13
154,18
155,16
156,8
157,13
158,27
159,10
160,20
161,6
162,0
163,0
164,18
165,0
166,34
167,10
168,18
169,18
170,1
171,27
172,1
173,0
174,1
175,27
176,33
177,6
178,0
179,36
180,31
181,35
182,27
183,27
184,16
185,16
186,26
187,0
188,19
189,8
190,20
191,0
192,1
193,1
194,34
195,13
196,27
197,13
198,18
199,16
200,6
201,21
202,10
203,26
204,29
205,27
206,16
207,2
208,13
209,1
210,8
211,18
212,32
213,0
214,10
215,18
216,26
217,27
218,6
219,31
220,28
221,6
222,27
223,0
224,16
225,27
226,26
227,8
228,32
229,31
230,35
231,27
232,6
233,35
234,0
235,33
236,17
237,33
238,13
239,10
240,10
241,6
242,35
243,8
244,13
245,21
246,6
247,0
248,35
249,27
250,27
251,28
252,27
253,0
254,6
255,8
256,13
257,35
258,1
259,31
260,27
261,11
262,8
263,32
264,2
265,27
266,6
267,8
268,20
269,36
270,16
271,6
272,0
273,16
274,0
275,16
276,13
277,21
278,32
279,8
280,8
281,6
282,6
283,1
284,20
285,10
286,36
287,27
288,1
289,32
290,11
291,0
292,8
293,28
294,6
295,31
296,1
297,31
298,20
299,13
300,13
301,36
302,35
303,0
304,8
305,33
306,6
307,13
308,16
309,10
310,16
311,0
312,34
313,6
314,0
315,29
316,1
317,36
318,1
319,31
320,19
321,27
322,6
323,6
324,35
325,6
326,18
327,27
328,10
329,0
330,15
331,0
332,15
333,0
334,6
335,35
336,0
337,6
338,27
339,32
340,1
341,26
342,6
343,27
344,35
345,23
346,20
347,23
348,33
349,21
350,0
351,13
352,26
353,13
354,27
355,6
356,1
357,36
358,8
359,21
360,6
361,6
362,6
363,36
364,0
365,29
366,27
367,10
368,26
369,0
370,35
371,6
372,6
373,0
374,27
375,16
376,35
377,27
378,13
379,6
380,1
381,0
382,6
383,32
384,31
385,1
386,19
387,27
388,1
389,16
390,13
391,6
392,19
393,16
394,15
395,8
396,20
397,18
398,35
399,13
400,13
401,35
402,0
403,0
404,13
405,27
406,36
407,6
408,6
409,13
410,27
411,6
412,31
413,8
414,26
415,29
416,16
417,29
418,31
419,1
420,16
421,6
422,6
423,35
424,6
425,8
426,13
427,31
428,16
429,31
430,8
431,26
432,13
433,35
434,16
435,0
436,6
437,8
438,16
439,31
440,32
441,0
442,13
443,13
444,6
445,26
446,20
447,1
448,16
449,26
450,16
451,16
452,8
453,36
454,26
455,16
456,32
457,20
458,6
459,35
460,27
461,0
462,0
463,0
464,0
465,1
466,31
467,0
468,8
469,23
470,16
471,10
472,36
473,33
474,1
475,23
476,16
477,26
478,31
479,8
480,10
481,27
482,31
483,13
484,33
485,27
486,27
487,28
488,32
489,6
490,16
491,16
492,6
493,6
494,10
495,33
496,31
497,6
498,10
499,0
500,10
501,27
502,19
503,27
504,35
505,13
506,27
507,16
508,6
509,35
510,28
511,6
512,6
513,12
514,19
515,27
516,26
517,6
518,26
519,10
520,16
521,6
522,36
523,36
524,23
525,13
526,29
527,27
528,8
529,0
530,6
531,16
532,35
533,31
534,8
535,20
536,0
537,10
538,6
539,19
540,21
541,0
542,0
543,6
544,0
545,16
546,16
547,6
548,23
549,6
550,1
551,27
552,1
553,1
554,13
555,35
556,27
557,33
558,27
559,35
560,16
561,18
562,27
563,35
564,0
565,0
566,27
567,0
568,1
569,13
570,36
571,8
572,26
573,27
574,23
575,13
576,13
577,8
578,6
579,1
580,16
581,1
582,13
583,27
584,31
585,8
586,1
587,36
588,35
589,27
590,31
591,13
592,36
593,35
594,36
595,27
596,26
597,26
598,36
599,35
600,23
601,26
602,20
603,36
604,6
605,20
606,0
607,0
608,35
609,15
610,10
611,6
612,28
